Date,usa,gbr,jpn,chn,can
1872-01-18,0.097913043773828,0.246239743851401,,,
1872-01-19,0.082768056208978,0.246212312015448,,,
1872-01-22,0.08279545068204,0.246186006781016,,,
1872-01-23,0.0828222246074965,0.246162085042689,,,
1872-01-24,0.0828497286508733,0.246139289501264,,,
1872-01-25,0.0828779632182281,0.246117620065382,,,
1872-01-26,0.0829097418636073,0.246098071701889,,,
1872-01-29,0.0829422529257284,0.246079649339591,,,
1872-01-30,0.0829741446181668,0.246063608686933,,,
1872-01-31,0.0830053609701098,0.246048196008446,,,
1872-02-01,0.0885808847525861,0.233874707787052,,,
1872-02-02,0.088610314618192,0.23385639595281,,,
1872-02-05,0.0886394304259901,0.233838213212031,,,
1872-02-06,0.0886668712765239,0.233821401884471,,,
1872-02-07,0.0886939975856881,0.233804719389688,,,
1872-02-08,0.0887208092542233,0.233788165693449,,,
1872-02-09,0.0887480371183446,0.233770756235736,,,
1872-02-12,0.088774950241012,0.233753475633244,,,
1872-02-13,0.0888001860678766,0.233737565028116,,,
1872-02-14,0.0888251066779979,0.233721783020379,,,
1872-02-15,0.0888497119737847,0.233706129576162,,,
1872-02-16,0.062468289629656,0.215678465302295,,,
1872-02-19,0.0624993260379889,0.21566973304015,,,
1872-02-20,0.0625327152230816,0.21566202000206,,,
1872-02-21,0.0625671272378662,0.215654323626135,,,
1872-02-22,0.0626025621076877,0.215646643908689,,,
1872-02-23,0.0626397341072657,0.215638012142534,,,
1872-02-26,0.0626779291323917,0.215629397136935,,,
1872-02-27,0.0627184758391761,0.215621800573551,,,
1872-02-28,0.0627600455419366,0.215614220646765,,,
1872-02-29,0.0628026382868829,0.215606657352906,,,
1872-03-01,0.0952889463340667,0.241540574864589,,,
1872-03-04,0.0953273291740988,0.241526766183073,,,
1872-03-05,0.0953673972850002,0.241514475212109,,,
1872-03-06,0.0954077825686101,0.241502679473547,,,
1872-03-07,0.0954484849841326,0.241491378900738,,,
1872-03-08,0.0954887683942613,0.241480541533137,,,
1872-03-11,0.0955293688623466,0.241470199200438,,,
1872-03-12,0.095571653051248,0.241461373342244,,,
1872-03-13,0.0956142541088047,0.241453042270212,,,
1872-03-14,0.0956571719962662,0.241445205921923,,,
1872-03-15,0.0956996708692254,0.241437832342875,,,
1872-03-18,0.09574248649922,0.241430953364999,,,
1872-03-19,0.095784480492741,0.241422111914825,,,
1872-03-20,0.0642709343432395,0.197130124888945,,,
1872-03-21,0.0643165830976599,0.197126458517806,,,
1872-03-22,0.064360941014578,0.197121806827812,,,
1872-03-25,0.0644047223807748,0.197116200399723,,,
1872-03-26,0.0644474845497879,0.197107759394234,,,
1872-03-27,0.0644896700050623,0.19709836296873,,,
1872-03-28,0.0645312786963376,0.197088010961155,,,
1872-03-29,0.0645719535276942,0.197076687835822,,,
1872-04-01,0.0961481389995451,0.197057416095799,,,
1872-04-02,0.096184101632456,0.197034184413907,,,
1872-04-03,0.0962200212718173,0.197008874831939,,,
1872-04-04,0.0962558979091783,0.19698148756655,,,
1872-04-05,0.0962920992731761,0.196949750797708,,,
1872-04-08,0.0963282576578341,0.19691593747357,,,
1872-04-09,0.0963639168584229,0.196878163368011,,,
1872-04-10,0.0963995330091604,0.196838312989315,,,
1872-04-11,0.0964351061016226,0.196796386628363,,,
1872-04-12,0.0964710040324583,0.196750116684883,,,
1872-04-15,0.0965068589275515,0.196701772088651,,,
1872-04-16,0.0965422143418588,0.196649466448387,,,
1872-04-17,0.0713426466837801,0.177800808610615,,,
1872-04-18,0.0713820395047364,0.177751543587225,,,
1872-04-19,0.0714221961450372,0.177698938071195,,,
1872-04-22,0.0714627570818897,0.177645221299248,,,
1872-04-23,0.0715041682570494,0.177590393687386,,,
1872-04-24,0.0715459838241439,0.177534455653464,,,
1872-04-25,0.071588203826344,0.17747740761886,,,
1872-04-26,0.071631188088941,0.177417026117987,,,
1872-04-29,0.0716745769184765,0.177355536221023,,,
1872-04-30,0.0717188161869353,0.177292938364738,,,
1872-05-01,0.0717626956647534,0.175336349384131,,,
1872-05-02,0.0718066199123104,0.175271646932571,,,
1872-05-03,0.0718502290946319,0.175204297008064,,,
1872-05-06,0.0718938830350068,0.175136067649058,,,
1872-05-07,0.0719380274907171,0.175066959175659,,,
1872-05-08,0.0719822167204609,0.17499697190873,,,
1872-05-09,0.0720264507255927,0.174926106171561,,,
1872-05-10,0.0720703697029523,0.174852597949425,,,
1872-05-13,0.0721143334438858,0.174778212461082,,,
1872-05-14,0.072158787635379,0.174702950039744,,,
1872-05-15,0.0722032866067599,0.174626811019364,,,
1872-05-16,0.0722478303594202,0.174549795736315,,,
1872-05-17,0.0722918362914415,0.174470143077355,,,
1872-05-20,0.0806299325050783,0.177658513853957,,,
1872-05-21,0.0806766953914466,0.177580157111473,,,
1872-05-22,0.080723054395926,0.177500740484851,,,
1872-05-23,0.0807690094622954,0.17742026434741,,,
1872-05-24,0.0808141980085896,0.177336965638308,,,
1872-05-27,0.0808589824907168,0.17725260875338,,,
1872-05-28,0.0809029133888465,0.177166828747196,,,
1872-05-29,0.08094644005459,0.177079991379811,,,
1872-05-30,0.080989562434885,0.176992097043829,,,
1872-05-31,0.081032824300725,0.176907699583824,,,
1872-06-03,0.0706955759423335,0.178722721883872,,,
1872-06-04,0.0707403188940758,0.178643818848961,,,
1872-06-05,0.0707850205785205,0.178566579733936,,,
1872-06-06,0.070829680986292,0.178491004924806,,,
1872-06-07,0.070874659371434,0.178420782560436,,,
1872-06-10,0.0709195965062587,0.178352226298531,,,
